id:num=0,name:str=null,age:num=0
4,lennon,20
5,innis,25
6,sf,20
7,kl,20
8,mf,20
9,zq,20
10,jy,20
1,kk,20
2,pm,21
3,yannis,21
4,lennon,20
5,innis,25
6,sf,20
7,kl,20
8,mf,20
9,zq,20
10,jy,20
1,kk,20
2,pm,21
3,yannis,21
4,lennon,20
5,innis,25
6,sf,20
7,kl,20
8,mf,20
9,zq,20
10,jy,20
1,kk,20
2,pm,21
3,yannis,21
4,lennon,20
5,innis,25
6,sf,20
7,kl,20
8,mf,20
9,zq,20
10,jy,20
1,kk,20
2,pm,21
3,yannis,21
4,lennon,20
5,innis,25
6,sf,20
7,kl,20
8,mf,20
9,zq,20
10,jy,20
1,kk,20
2,pm,21
3,yannis,21
4,lennon,20
5,innis,25
6,sf,20
7,kl,20
8,mf,20
9,zq,20
10,jy,20
1,kk,20
2,pm,21
3,yannis,21
4,lennon,20
5,innis,25
6,sf,20
7,kl,20
8,mf,20
9,zq,20
10,jy,20
1,kk,20
2,pm,21
3,yannis,21
4,lennon,20
5,innis,25
6,sf,20
7,kl,20
8,mf,20
9,zq,20
10,jy,20
1,kk,20
2,pm,21
3,yannis,21
4,lennon,20
5,innis,25
6,sf,20
7,kl,20
8,mf,20
9,zq,20
10,jy,20
1,kk,20
2,pm,21
3,yannis,21
4,lennon,20
5,innis,25
6,sf,20
7,kl,20
8,mf,20
9,zq,20
10,jy,20
1,kk,20
2,pm,21
3,yannis,21
4,lennon,20
5,innis,25
6,sf,20
7,kl,20
8,mf,20
9,zq,20
10,jy,20
1,kk,20
2,pm,21
3,yannis,21
4,lennon,20
5,innis,25
6,sf,20
7,kl,20
8,mf,20
9,zq,20
10,jy,20
1,kk,20
2,pm,21
3,yannis,21
4,lennon,20
5,innis,25
6,sf,20
7,kl,20
8,mf,20
9,zq,20
10,jy,20
1,kk,20
2,pm,21
3,yannis,21
4,lennon,20
5,innis,25
6,sf,20
7,kl,20
8,mf,20
9,zq,20
10,jy,20
1,kk,20
2,pm,21
3,yannis,21
4,lennon,20
5,innis,25
6,sf,20
7,kl,20
8,mf,20
9,zq,20
10,jy,20
1,kk,20
2,pm,21
3,yannis,21
4,lennon,20
5,innis,25
6,sf,20
7,kl,20
8,mf,20
9,zq,20
10,jy,20
1,kk,20
2,pm,21
3,yannis,21
4,lennon,20
5,innis,25
6,sf,20
7,kl,20
8,mf,20
9,zq,20
10,jy,20
1,kk,20
2,pm,21
3,yannis,21
4,lennon,20
5,innis,25
6,sf,20
7,kl,20
8,mf,20
9,zq,20
10,jy,20
1,kk,20
2,pm,21
3,yannis,21
4,lennon,20
5,innis,25
6,sf,20
7,kl,20
8,mf,20
9,zq,20
10,jy,20
1,kk,20
2,pm,21
3,yannis,21
4,lennon,20
5,innis,25
6,sf,20
7,kl,20
8,mf,20
9,zq,20
10,jy,20
